Variable,category,count,proportion
Key,0,2569,0.12653302467615624
Key,7,2360,0.11623897946116338
Key,2,2162,0.1064867260995912
Key,9,2157,0.10624045707530906
Key,5,1794,0.08836132591242674
Key,1,1768,0.08708072698615968
Key,4,1628,0.08018519430626016
Key,11,1456,0.07171353987095504
Key,10,1413,0.06959562626212874
Key,6,1205,0.059350834851992315
Key,8,1167,0.05747919026744816
Key,3,624,0.030734374230409298
Mode,major,14746,0.7262966064128454
Mode,minor,5557,0.2737033935871546
Song type,Solo,18883,0.9300595971038763
Song type,Collaboration,1420,0.06994040289612373
Time signature,4,19054,0.938481997734325
Time signature,3,1068,0.05260306358666207
Time signature,Other,181,0.008914938679012954
