Variable,mean,sd,median,min,max,IQR
Acousticness,0.2635651504536273,0.2634002458820107,0.168,1.34e-6,0.995,0.39715
Average chart longevity,10.085294784022368,7.996197684626804,10.12,0,67,14.9
Average prior peak score,47.88236713786131,33.06039611354986,56.5,0,100,73.485
Chart entry score,20.571196374919964,18.17429330757726,16,1,100,19
Danceability,0.6007263951140225,0.15049316740426882,0.608,0.103,0.988,0.20499999999999996
Duration (ms),229892.2523272443,66899.2527365775,223373,24604,1561133,72873
Energy,0.6256368191892825,0.19683530124838844,0.641,0.00664,0.998,0.30200000000000005
Instrumentalness,0.04752186684381435,0.16835275170839195,1.01e-5,0,0.985,0.00111
Liveness,0.19206938383490127,0.16376315891542267,0.129,0.013,0.997,0.1597
Loudness (dB),-8.838358025907501,3.5932161379869294,-8.46,-30.896,3.44,5.166500000000001
Number of collaborating artists,0.08988819386297618,0.3851080988095617,0,0,15,0
Prior chart appearances,6.345042194093099,10.047365940407685,3,0,109,7.775
Speechiness,0.06765499187312218,0.0745209007486368,0.0404,0.0218,0.95,0.031100000000000003
Tempo (BPM),120.32581096389696,27.666559577102156,118.957,37.114,231.028,36.15100000000001
Valence,0.6076945968576074,0.23646905360290674,0.632,0.0349,1,0.37700000000000006
