feature,PC,loading
acousticness,PC1,0.509101
acousticness,PC2,-0.16231
acousticness,PC3,0.138292
acousticness,PC4,0.07367
acousticness,PC5,0.128741
acousticness,PC6,-0.535418
acousticness,PC7,-0.346298
acousticness,PC8,-0.516479
danceability,PC1,-0.424424
danceability,PC2,-0.546478
danceability,PC3,0.110275
danceability,PC4,0.056258
danceability,PC5,-0.033275
danceability,PC6,-0.159953
danceability,PC7,0.550023
danceability,PC8,-0.420337
energy,PC1,-0.539362
energy,PC2,0.313941
energy,PC3,-0.086878
energy,PC4,0.005116
energy,PC5,0.110232
energy,PC6,0.241835
energy,PC7,-0.449549
energy,PC8,-0.574654
valence,PC1,-0.447352
valence,PC2,-0.20304
valence,PC3,-0.185519
valence,PC4,0.05087
valence,PC5,0.395552
valence,PC6,-0.527732
valence,PC7,-0.311875
valence,PC8,0.435221
tempo,PC1,-0.082454
tempo,PC2,0.550648
tempo,PC3,-0.387313
tempo,PC4,-0.124368
tempo,PC5,-0.341528
tempo,PC6,-0.54611
tempo,PC7,0.313931
tempo,PC8,-0.105257
speechiness,PC1,-0.23956
speechiness,PC2,0.016884
speechiness,PC3,0.589156
speechiness,PC4,0.179768
speechiness,PC5,-0.652521
speechiness,PC6,-0.187368
speechiness,PC7,-0.276895
speechiness,PC8,0.159194
liveness,PC1,-0.021091
liveness,PC2,0.451407
liveness,PC3,0.426113
liveness,PC4,0.553929
liveness,PC5,0.453151
liveness,PC6,-0.079523
liveness,PC7,0.308793
liveness,PC8,0.018807
instrumentalness,PC1,0.070801
instrumentalness,PC2,-0.167233
instrumentalness,PC3,-0.498057
instrumentalness,PC4,0.796349
instrumentalness,PC5,-0.256777
instrumentalness,PC6,0.105313
instrumentalness,PC7,-0.087269
instrumentalness,PC8,-0.012092
