song_id,song_name,song_type,explicit,entry_year,exit_year,n_years_on_chart,years_on_chart,weeks_on_chart,song_rank_entry,song_rank_peak,song_rank_final,entry_week,exit_week,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
000u1dTg7y1XCDXi80hbBX,I Don't Want A Lover,Solo,FALSE,1989,1989,1,1989,6,5,24,1,1989-09-09,1989-10-14,300440,0.181,0.763,0.44,4.57e-4,0.114,-13.11,0.0388,0.421,120.492
002pGYO81GoXdB8uNqB4w8,True Colors,Solo,FALSE,2009,2009,1,2009,1,35,35,35,2009-12-12,2009-12-12,215814,0.0063,0.6,0.153,0.855,0.0559,-14.028,0.0492,0.255,172.05
003FTlCpBTM4eSqYSWPv4H,"Swing, Swing",Solo,FALSE,2003,2003,1,2003,11,30,41,5,2003-06-21,2003-08-30,233267,6.48e-5,0.553,0.717,0.128,0.0385,-5.857,0.0318,0.318,127.947
003eoIwxETJujVWmNFMoZy,Growing Pains,Solo,FALSE,2018,2018,1,2018,8,2,36,9,2018-07-14,2018-09-01,193680,0.0822,0.353,0.755,0,0.39,-6.276,0.733,0.437,191.153
004ZH9ISUSEwansKKbUdJs,You Better Wait,Solo,FALSE,1994,1994,1,1994,16,15,72,4,1994-07-16,1994-10-29,291800,0.236,0.348,0.924,0,0.102,-3.048,0.0945,0.0869,114.117
006yvCdaWUS79qp2Ip3Hdl,Get It On,Solo,FALSE,1971,1971,1,1971,13,5,77,66,1971-05-22,1971-08-14,179147,0.487,0.409,0.902,0.00358,0.035,-5.714,0.1,0.728,135.797
007n10xGvSbc7dKgAORVIq,Brokenheartsville,Solo,FALSE,2003,2003,1,2003,20,27,74,26,2003-01-25,2003-06-07,231347,0.142,0.668,0.65,3.25e-4,0.0956,-4.351,0.0228,0.577,103.954
00BHe2yBtdOzhKPmI7rpTE,Locked Up,Solo,TRUE,2004,2004,1,2004,27,4,93,53,2004-06-12,2004-12-11,235067,0.023,0.818,0.579,0,0.107,-4.475,0.101,0.354,89.987
00FDHurakzVEiPutdUxXXq,Wouldn't It Be Good,Solo,FALSE,1984,1984,1,1984,13,8,55,2,1984-03-31,1984-06-23,277053,0.169,0.655,0.705,0.0139,0.0698,-8.529,0.0285,0.749,97.007
00FU5uypELwgQuM9IbFC6G,Give It To Her,Solo,FALSE,2002,2002,1,2002,20,5,16,5,2002-03-23,2002-08-10,209053,0.0918,0.6,0.583,0,0.0992,-6.617,0.281,0.763,126.517
00GfGwzlSB8DoA0cDP2Eit,Tender Lover,Solo,FALSE,1989,1990,2,1989;1990,17,16,87,12,1989-11-18,1990-03-10,259267,0.226,0.743,0.86,4.22e-4,0.0513,-6.346,0.0445,0.687,102.459
00IH8ZjI9ZGB51WRX1Oesj,Trust,Solo,FALSE,2015,2015,1,2015,1,3,3,3,2015-12-05,2015-12-05,203613,0.067,0.609,0.487,0,0.166,-8.444,0.168,0.474,72.674
00IrSynHsun7DpDrLkRIjM,The Boy In the Bubble,Solo,FALSE,1987,1987,1,1987,4,10,15,1,1987-03-07,1987-03-28,239693,0.479,0.62,0.703,0,0.14,-7.854,0.0836,0.559,136.155
00J4DmF13ppCBIq89cVbAE,Oh No (feat. Mos Def & Pharoahe Monch),Collaboration,TRUE,2000,2001,2,2000;2001,12,4,18,4,2000-12-23,2001-03-10,196320,0.164,0.694,0.775,0,0.307,-6.501,0.461,0.752,84.456
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Solo,FALSE,2002,2003,2,2002;2003,20,29,91,16,2002-09-14,2003-01-25,204000,6.79e-5,0.487,0.9,0,0.358,-4.417,0.0482,0.484,149.937
00NAQYOP4AmWR549nnYJZu,Secrets,Solo,FALSE,2016,2016,1,2016,2,54,54,35,2016-12-17,2016-12-24,265600,0.0155,0.665,0.771,9.6e-6,0.46,-5.779,0.0533,0.764,109.945
00ODCfwZix0sfqSfBYT18Z,Change,Solo,FALSE,1985,1985,1,1985,10,15,47,3,1985-03-02,1985-05-04,196693,0.246,0.403,0.848,0,0.616,-11.615,0.0625,0.622,149.028
00PLtXXER1XcTRZvs3LioS,Get The Funk Out Ma Face,Solo,FALSE,1976,1976,1,1976,15,18,71,4,1976-08-14,1976-11-20,147000,0.332,0.894,0.568,0.0281,0.0666,-13.207,0.0952,0.742,106.025
00Qi1pQPiMxsnnlZG2bpTC,Nobody Wants You When You're Down And Out,Solo,FALSE,1973,1973,1,1973,15,12,72,52,1973-06-16,1973-09-22,174027,0.0581,0.621,0.682,3.87e-6,0.0815,-7.429,0.0511,0.711,89.573
00RYiT3a2lNQ1wTKBQXWSw,Lookin Boy (feat. Yung Joc) - Main Version - Explicit,Collaboration,TRUE,2008,2008,1,2008,11,15,54,12,2008-06-21,2008-08-30,207013,0.213,0.85,0.687,0,0.0724,-5.995,0.308,0.502,149.989
00U45bMLJ8QM1kwT9i6cIL,I'll Say Forever My Love,Solo,FALSE,1968,1968,1,1968,5,16,24,24,1968-03-09,1968-04-06,181040,0.00817,0.302,0.595,0,0.374,-6.875,0.0348,0.7,207.475
00XXUBsdOe8cLPo2p64Dd3,Even Now,Solo,FALSE,1983,1983,1,1983,12,27,89,53,1983-03-12,1983-05-28,273187,0.0342,0.473,0.952,3.84e-5,0.275,-3.561,0.0531,0.78,152.007
00boa7LL0M0FvUOslpdGCR,Totally Hot,Solo,FALSE,1979,1979,1,1979,6,22,49,8,1979-07-28,1979-09-01,270032,8.78e-4,0.504,0.724,6.92e-5,0.212,-8.552,0.0386,0.523,143.999
00cs7mlkTcIIoWnm8G0U0l,Wigwam,Solo,FALSE,1970,1970,1,1970,7,27,60,47,1970-07-25,1970-09-05,188253,0.755,0.407,0.47,0.0216,0.0976,-8.64,0.037,0.227,138.471
00da5UpHHr2CcmAedVX3Be,"Baby, I'm Back",Collaboration,TRUE,2005,2005,1,2005,25,4,82,62,2005-02-26,2005-08-13,219187,0.0476,0.901,0.391,0,0.102,-4.421,0.0934,0.77,100.018
00drgzklCYUPHnEDRi7ROJ,Take the Time (Remastered),Solo,FALSE,1982,1983,2,1982;1983,5,12,20,4,1982-12-25,1983-01-22,333560,0.0961,0.49,0.719,1.75e-4,0.12,-7.87,0.0355,0.864,181.448
00gV7ZurTj4V4su0RWSEzd,Watermelon Man,Solo,FALSE,1965,1965,1,1965,5,21,39,19,1965-06-26,1965-07-24,318613,0.894,0.639,0.446,0.0114,0.922,-15.618,0.0531,0.765,116.805
00gvX9sFwh19OH88f4v4jW,Who Did You Think I Was - Live In Concert,Solo,FALSE,2005,2005,1,2005,1,9,9,9,2005-10-01,2005-10-01,189160,3.79e-4,0.232,0.968,0.136,0.938,-5.597,0.102,0.419,188.686
00i2HU7TEzzftShjRrDSEF,Changes,Collaboration,TRUE,1998,1999,2,1998;1999,19,33,69,7,1998-12-05,1999-04-10,268960,0.0404,0.865,0.657,0,0.14,-6.722,0.076,0.316,111.115
00iVYbSh1B77akx1ITNWUL,New Thing,Solo,FALSE,1989,1989,1,1989,7,8,34,15,1989-10-21,1989-12-02,257920,0.00409,0.373,0.884,0,0.329,-7.707,0.0421,0.28,130.099
00kG3Kz2rxem4XswOmtF3s,My Buddy Seat,Solo,FALSE,1964,1965,2,1964;1965,4,1,14,14,1964-12-12,1965-01-02,102587,0.804,0.407,0.737,0,0.123,-7.741,0.0417,0.925,150.053
00klbNctBWN9HFIOqxC8Xl,Fields of Gray,Solo,FALSE,1993,1993,1,1993,11,7,32,10,1993-10-09,1993-12-18,291600,0.14,0.676,0.543,8.29e-6,0.0601,-9.986,0.027,0.543,107.995
00kvKlIvfzQLSi6T2zwXuS,Strawberry Letter 23,Solo,FALSE,1977,1977,1,1977,19,30,96,5,1977-07-02,1977-11-05,299067,0.276,0.731,0.617,0.0142,0.134,-11.644,0.0529,0.765,90.94
00p615Q4EFYMIAr055wqRu,All About Soul,Solo,FALSE,1993,1994,2,1993;1994,20,34,72,24,1993-11-06,1994-03-19,361307,0.0386,0.555,0.86,0,0.325,-5.965,0.038,0.468,108.594
00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Solo,FALSE,1982,1982,1,1982,13,28,75,1,1982-02-13,1982-05-08,259800,0.0828,0.357,0.653,0,0.0844,-5.554,0.0654,0.522,176.647
00qyVgLK2j92HYoFaNCnVD,Dirty Picture,Collaboration,FALSE,2010,2010,1,2010,1,5,5,5,2010-06-19,2010-06-19,218853,0.016,0.714,0.669,0,0.11,-6.461,0.0723,0.54,119.923
