Variable,category,count,proportion
Key,0,2542,0.12694766280463443
Key,7,2330,0.11636036755892928
Key,2,2138,0.1067718737514982
Key,9,2125,0.10612265281662006
Key,5,1757,0.08774470635237715
Key,1,1742,0.08699560527367159
Key,4,1607,0.08025369556532161
Key,11,1436,0.07171394326807831
Key,10,1389,0.06936675988813423
Key,6,1192,0.05952856572113464
Key,8,1147,0.05728126248501798
Key,3,619,0.0309129045145825
Mode,major,14541,0.7261785856971634
Mode,minor,5483,0.2738214143028366
Song type,Solo,18605,0.9291350379544546
Song type,Collaboration,1419,0.07086496204554535
Time signature,4,18786,0.938174190970835
Time signature,3,1059,0.05288653615661207
Time signature,Other,179,0.008939272872552936
