Variable,mean,sd,median,min,max,IQR
Acousticness,0.26348302134238916,0.26333735990538454,0.168,1.34e-6,0.995,0.3971
Average chart longevity,10.100206751897723,7.991169729427049,10.15,0,67,14.41
Average peak chart position,47.93800639232921,33.00637369025793,56.61,0,100,72.43
Chart entry position,20.596883739512585,18.20505601757308,16,1,100,19
Danceability,0.600458349980024,0.15049359153776662,0.608,0.103,0.988,0.20399999999999996
Duration (ms),229919.6068717539,66752.33291409424,223440,24604,1561133,72778
Energy,0.6258267748701558,0.19688968077497368,0.641,0.00664,0.998,0.30200000000000005
Instrumentalness,0.04677856549540551,0.16693379309169293,9.98e-6,0,0.985,0.00109
Liveness,0.19217779165001997,0.16387354998978068,0.129,0.013,0.997,0.1607
Loudness (dB),-8.83186900719137,3.595575494265846,-8.45,-30.896,3.44,5.175
Number of collaborating artists,0.0882940471434279,0.37977485823594304,0,0,15,0
Prior chart appearances,6.385800313433403,10.099207305885114,3,0,109,7.666666666666667
Speechiness,0.06761488713543748,0.07453896505653129,0.0404,0.0218,0.95,0.0312
Tempo (BPM),120.3033068817419,27.681885268872417,118.9305,37.114,231.028,36.19799999999998
Valence,0.6069687924490611,0.23659508222181794,0.631,0.0349,1,0.37800000000000006
